,AC,AF,AR,AS,AST,AY,AwayTeam,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Referee,WHA,WHD,WHH,HomeLastWin,VisitorLastWin,HmLasthlll,VisLasthlll,Hmdwl,Visdwl,HomeWinStreak,VisitorWinStreak,HomeUnbeatenStreak,VisitorUnbeatenStreak,HomeLosingStreak,VisitorLosingStreak,prev_HS,prev_AS,prev_HST,prev_AST,prev_HC,prev_AC,AtHomeWinStreak,HomeWinAgainstVisitor,HomeWinAgainstVisitorStreak,VisitorWinAgainstHomeStreak,VisitorWPLast5,HomeWPLast5,VisitorWPALast5,HomeWPHLast5,HomeWinAgainstVisitorL5,VisitorWinAgainstHomeL5
38,7.0,7.0,0.0,9.0,4.0,2.0,Aston Villa,06/09/00,E0,1.0,3.0,H,8.0,13.0,0.0,11.0,7.0,0.0,3.0,H,0.0,Liverpool,4.2,3.2,1.6,Neale Barry,5.0,3.5,1.57,0,0,0,0,0,0,0,0,1,2,0,0,9.0,12.0,4.0,9.0,1.0,7.0,1,0,0,0,0.0,0.5,0.0,1.0,0.0,0.0
39,10.0,13.0,0.0,18.0,11.0,2.0,Arsenal,09/09/00,E0,1.0,1.0,D,4.0,17.0,0.0,9.0,5.0,0.0,1.0,H,0.0,Bradford,1.7,3.1,3.8,Alan Wiley,1.61,3.5,4.5,0,0,0,0,0,0,0,0,0,3,1,0,6.0,13.0,4.0,5.0,1.0,6.0,0,0,0,0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0
40,6.0,14.0,0.0,11.0,5.0,2.0,Leeds,09/09/00,E0,0.0,0.0,D,6.0,15.0,0.0,9.0,1.0,0.0,0.0,D,2.0,Coventry,2.2,2.9,2.7,Paul Durkin,2.1,3.2,3.0,0,0,0,0,0,0,0,0,0,0,1,1,13.0,6.0,3.0,1.0,6.0,9.0,0,0,0,0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0
41,3.0,13.0,0.0,5.0,2.0,3.0,Aston Villa,09/09/00,E0,2.0,1.0,A,5.0,9.0,0.0,15.0,5.0,1.0,0.0,A,1.0,Ipswich,2.3,2.9,2.5,Andy D'Urso,2.25,3.2,2.75,0,0,0,0,0,0,0,0,0,0,1,1,7.0,9.0,3.0,4.0,2.0,7.0,1,0,0,0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0
42,6.0,9.0,0.0,9.0,5.0,0.0,Southampton,09/09/00,E0,0.0,1.0,H,10.0,6.0,0.0,17.0,6.0,0.0,0.0,D,0.0,Leicester,3.6,3.1,1.75,Mike Dean,4.33,3.4,1.66,1,0,0,0,0,0,1,0,4,2,0,0,12.0,11.0,6.0,3.0,6.0,14.0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
43,4.0,17.0,0.0,9.0,7.0,4.0,Man City,09/09/00,E0,2.0,3.0,H,9.0,17.0,0.0,14.0,8.0,0.0,1.0,H,3.0,Liverpool,6.2,3.8,1.35,Graham Barber,8.0,3.75,1.36,1,1,0,0,0,0,1,1,2,1,0,0,11.0,8.0,7.0,3.0,8.0,4.0,2,0,0,0,0.5,0.6666666666666666,0.5,1.0,0.0,0.0
44,4.0,14.0,0.0,5.0,1.0,3.0,Sunderland,09/09/00,E0,0.0,3.0,H,4.0,18.0,0.0,15.0,7.0,0.0,1.0,H,1.0,Man United,6.2,3.8,1.35,Neale Barry,10.0,4.5,1.25,1,0,0,0,0,0,1,0,4,1,0,0,21.0,17.0,12.0,7.0,5.0,4.0,2,0,0,0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0
45,7.0,5.0,0.0,12.0,9.0,0.0,Everton,09/09/00,E0,2.0,1.0,A,7.0,16.0,0.0,9.0,5.0,0.0,1.0,H,3.0,Middlesbrough,3.2,2.9,1.9,Steve Bennett,3.6,3.3,1.83,0,0,0,1,0,0,0,0,1,0,0,1,5.0,11.0,4.0,6.0,5.0,5.0,0,0,0,0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
46,6.0,21.0,0.0,10.0,3.0,3.0,Chelsea,09/09/00,E0,0.0,0.0,D,5.0,17.0,0.0,10.0,4.0,0.0,0.0,D,0.0,Newcastle,2.35,3.0,2.35,Graham Poll,2.5,3.25,2.4,1,0,0,0,0,0,3,0,3,2,0,0,13.0,12.0,6.0,5.0,8.0,7.0,2,0,0,0,0.5,0.75,0.0,1.0,0.0,0.0
47,11.0,12.0,0.0,10.0,6.0,1.0,Charlton,10/09/00,E0,2.0,2.0,D,4.0,17.0,0.0,12.0,6.0,0.0,2.0,H,3.0,Derby,3.5,3.0,1.8,Peter Jones,3.2,3.2,2.0,0,0,0,0,0,0,0,0,2,1,0,0,9.0,8.0,5.0,6.0,11.0,10.0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
